173	error	code-scanning	go/path-injection	internal/organizer/organizer.go:484	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/173	2026-02-17T14:41:38Z
174	error	code-scanning	go/path-injection	internal/organizer/organizer.go:484	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/174	2026-02-17T14:41:38Z
175	error	code-scanning	go/path-injection	internal/organizer/organizer.go:485	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/175	2026-02-17T14:41:38Z
176	error	code-scanning	go/path-injection	internal/config/persistence.go:39	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/176	2026-02-18T12:09:33Z
178	error	code-scanning	go/path-injection	internal/config/persistence.go:134	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/178	2026-02-18T12:09:33Z
180	error	code-scanning	go/path-injection	internal/openlibrary/downloader.go:124	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/180	2026-02-18T12:09:33Z
181	error	code-scanning	go/path-injection	internal/openlibrary/downloader.go:181	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/181	2026-02-18T12:09:33Z
182	error	code-scanning	go/path-injection	internal/openlibrary/store.go:83	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/182	2026-02-18T12:09:33Z
192	error	code-scanning	go/path-injection	internal/metadata/metadata.go:875	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/192	2026-02-20T06:08:58Z
194	error	code-scanning	go/path-injection	internal/server/covers.go:87	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/194	2026-02-20T06:08:58Z
198	error	code-scanning	go/path-injection	internal/fileops/safe_operations.go:91	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/198	2026-02-21T03:55:21Z
199	error	code-scanning	go/path-injection	internal/fileops/safe_operations.go:101	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/199	2026-02-21T03:55:21Z
200	error	code-scanning	go/path-injection	internal/fileops/safe_operations.go:124	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/200	2026-02-21T03:55:21Z
202	error	code-scanning	go/path-injection	internal/fileops/safe_operations.go:174	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/202	2026-02-21T03:55:21Z
203	error	code-scanning	go/path-injection	internal/fileops/safe_operations.go:175	Uncontrolled data used in path expression	https://github.com/jdfalk/audiobook-organizer/security/code-scanning/203	2026-02-21T03:55:21Z
